id_pemesanan,id_pelanggan,id_gudang,tanggal_pemesanan,tanggal_pengiriman
844,6633,8118,1/3/19,1/6/19
845,5642,8118,1/3/19,1/6/19
846,6326,8118,1/3/19,1/6/19
847,5097,8118,1/3/19,1/6/19
848,1707,8118,1/3/19,1/6/19
849,9772,2666,1/3/19,1/6/19
850,5053,2666,1/3/19,1/6/19
851,7170,2666,1/3/19,1/6/19
852,2592,2666,1/3/19,1/6/19
853,1514,2666,1/3/19,1/6/19
854,3411,2666,1/3/19,1/6/19
855,7515,2666,1/3/19,1/6/19
856,4479,2666,1/3/19,1/6/19
857,5747,2666,1/3/19,1/6/19
858,5208,2666,1/3/19,1/6/19
859,8193,9080,1/3/19,1/6/19
860,3194,1543,1/3/19,1/6/19
861,6622,1543,1/3/19,1/6/19
862,8088,1543,1/3/19,1/6/19
863,3942,6509,1/3/19,1/6/19
864,1142,6509,1/3/19,1/6/19
865,5435,6509,1/3/19,1/6/19
866,2666,6509,1/3/19,1/6/19
867,6293,6509,1/3/19,1/6/19
868,3717,6509,1/3/19,1/6/19
869,2586,6509,1/3/19,1/6/19
870,4951,4338,1/3/19,1/6/19
871,4375,8118,1/4/19,1/7/19
872,9211,8118,1/4/19,1/7/19
873,4282,8118,1/4/19,1/7/19
874,6210,8118,1/4/19,1/7/19
875,8203,8118,1/4/19,1/7/19
876,4855,8118,1/4/19,1/7/19
877,8632,8118,1/4/19,1/7/19
878,5362,8118,1/4/19,1/7/19
879,4532,8118,1/4/19,1/7/19
880,8274,8118,1/4/19,1/7/19
881,4327,8118,1/4/19,1/7/19
882,2065,8118,1/4/19,1/7/19
883,8259,8118,1/4/19,1/7/19
884,1053,2666,1/4/19,1/7/19
885,1322,2666,1/4/19,1/7/19
886,2797,2666,1/4/19,1/7/19
887,9820,2666,1/4/19,1/7/19
888,1362,2666,1/4/19,1/7/19
889,7719,2666,1/4/19,1/7/19
890,2353,2666,1/4/19,1/7/19
891,3723,2666,1/4/19,1/7/19
892,2708,2666,1/4/19,1/7/19
893,4450,2666,1/4/19,1/7/19
894,4279,2666,1/4/19,1/7/19
895,6073,2666,1/4/19,1/7/19
896,3489,2666,1/4/19,1/7/19
897,7486,2666,1/4/19,1/7/19
898,7403,9080,1/4/19,1/7/19
899,5580,9080,1/4/19,1/7/19
900,9283,9080,1/4/19,1/7/19
901,9860,1543,1/4/19,1/7/19
902,9542,6509,1/4/19,1/7/19
903,4050,6509,1/4/19,1/7/19
904,5588,6509,1/4/19,1/7/19
905,5204,6509,1/4/19,1/7/19
906,5277,6509,1/4/19,1/7/19
907,8261,6509,1/4/19,1/7/19
908,5611,6509,1/4/19,1/7/19
909,6616,6509,1/4/19,1/7/19
910,5694,6509,1/4/19,1/7/19
911,7367,4338,1/4/19,1/7/19
912,2363,8118,1/5/19,1/8/19
913,4599,8118,1/5/19,1/8/19
914,5870,8118,1/5/19,1/8/19
915,6989,8118,1/5/19,1/8/19
916,6261,8118,1/5/19,1/8/19
917,4951,2666,1/5/19,1/8/19
918,3438,2666,1/5/19,1/8/19
919,7649,2666,1/5/19,1/8/19
920,3746,2666,1/5/19,1/8/19
921,1206,2666,1/5/19,1/8/19
922,9426,2666,1/5/19,1/8/19
923,1776,2666,1/5/19,1/8/19
924,8788,2666,1/5/19,1/8/19
925,8868,2666,1/5/19,1/8/19
926,3630,2666,1/5/19,1/8/19
927,4889,9080,1/5/19,1/8/19
928,9807,9080,1/5/19,1/8/19
929,1317,1543,1/5/19,1/8/19
930,2629,6509,1/5/19,1/8/19
931,8968,6509,1/5/19,1/8/19
932,5148,6509,1/5/19,1/8/19
933,3469,6509,1/5/19,1/8/19
934,1830,6509,1/5/19,1/8/19
935,8722,6509,1/5/19,1/8/19
936,2786,6509,1/5/19,1/8/19
937,4447,6509,1/5/19,1/8/19
938,2567,6509,1/5/19,1/8/19
939,7182,4338,1/5/19,1/8/19
940,3018,4338,1/5/19,1/8/19
941,7224,4338,1/5/19,1/8/19
942,7758,8118,1/6/19,1/9/19
943,6307,8118,1/6/19,1/9/19
944,5570,8118,1/6/19,1/9/19
945,4680,8118,1/6/19,1/9/19
946,7660,8118,1/6/19,1/9/19
947,2426,8118,1/6/19,1/9/19
948,4398,8118,1/6/19,1/9/19
949,7819,8118,1/6/19,1/9/19
950,4496,8118,1/6/19,1/9/19
951,3288,8118,1/6/19,1/9/19
952,6579,8118,1/6/19,1/9/19
953,3486,2666,1/6/19,1/9/19
954,8109,2666,1/6/19,1/9/19
955,9511,2666,1/6/19,1/9/19
956,5107,2666,1/6/19,1/9/19
957,6291,2666,1/6/19,1/9/19
958,8396,2666,1/6/19,1/9/19
959,4929,2666,1/6/19,1/9/19
960,3906,2666,1/6/19,1/9/19
961,5813,1543,1/6/19,1/9/19
962,1874,1543,1/6/19,1/9/19
963,1204,1543,1/6/19,1/9/19
964,5021,6509,1/6/19,1/9/19
965,5811,6509,1/6/19,1/9/19
966,1889,6509,1/6/19,1/9/19
967,7084,6509,1/6/19,1/9/19
968,9497,6509,1/6/19,1/9/19
969,1599,4338,1/6/19,1/9/19
970,5113,4338,1/6/19,1/9/19
971,8705,4338,1/6/19,1/9/19
972,5442,4338,1/6/19,1/9/19
973,3723,8118,1/7/19,1/10/19
974,4933,8118,1/7/19,1/10/19
975,5039,8118,1/7/19,1/10/19
976,3953,8118,1/7/19,1/10/19
977,4132,8118,1/7/19,1/10/19
978,4043,8118,1/7/19,1/10/19
979,4799,8118,1/7/19,1/10/19
980,4140,8118,1/7/19,1/10/19
981,9037,8118,1/7/19,1/10/19
982,1646,8118,1/7/19,1/10/19
983,6193,2666,1/7/19,1/10/19
984,6605,2666,1/7/19,1/10/19
985,2737,2666,1/7/19,1/10/19
986,4100,2666,1/7/19,1/10/19
987,5221,2666,1/7/19,1/10/19
988,9163,2666,1/7/19,1/10/19
989,4794,2666,1/7/19,1/10/19
990,8739,2666,1/7/19,1/10/19
991,2845,2666,1/7/19,1/10/19
992,3756,2666,1/7/19,1/10/19
993,9908,9080,1/7/19,1/10/19
994,8402,9080,1/7/19,1/10/19
995,7627,1543,1/7/19,1/10/19
996,3729,1543,1/7/19,1/10/19
997,3236,1543,1/7/19,1/10/19
998,6768,6509,1/7/19,1/10/19
999,4650,6509,1/7/19,1/10/19
1000,2718,6509,1/7/19,1/10/19
1001,3697,6509,1/7/19,1/10/19
1002,7320,6509,1/7/19,1/10/19
1003,1601,6509,1/7/19,1/10/19
1004,2349,6509,1/7/19,1/10/19
1005,9643,6509,1/7/19,1/10/19
1006,1873,6509,1/7/19,1/10/19
1007,7507,6509,1/7/19,1/10/19
1008,9317,6509,1/7/19,1/10/19
1009,8143,6509,1/7/19,1/10/19
1010,3971,4338,1/7/19,1/10/19
1011,5551,8118,1/8/19,1/11/19
1012,6689,8118,1/8/19,1/11/19
1013,5628,8118,1/8/19,1/11/19
1014,5933,8118,1/8/19,1/11/19
1015,8080,8118,1/8/19,1/11/19
1016,3713,8118,1/8/19,1/11/19
1017,5867,8118,1/8/19,1/11/19
1018,8548,8118,1/8/19,1/11/19
1019,4831,2666,1/8/19,1/11/19
1020,5066,2666,1/8/19,1/11/19
1021,9408,2666,1/8/19,1/11/19
1022,6576,2666,1/8/19,1/11/19
1023,8173,2666,1/8/19,1/11/19
1024,8744,2666,1/8/19,1/11/19
1025,1541,2666,1/8/19,1/11/19
1026,9266,2666,1/8/19,1/11/19
1027,4669,2666,1/8/19,1/11/19
1028,8231,9080,1/8/19,1/11/19
1029,6028,1543,1/8/19,1/11/19
1030,1891,6509,1/8/19,1/11/19
1031,9568,6509,1/8/19,1/11/19
1032,1861,6509,1/8/19,1/11/19
1033,8832,6509,1/8/19,1/11/19
1034,3283,6509,1/8/19,1/11/19
1035,9837,6509,1/8/19,1/11/19
1036,1751,6509,1/8/19,1/11/19
1037,3400,6509,1/8/19,1/11/19
1038,5251,6509,1/8/19,1/11/19
1039,7589,4338,1/8/19,1/11/19
1040,8905,8118,1/9/19,1/12/19
1041,8690,8118,1/9/19,1/12/19
1042,3494,8118,1/9/19,1/12/19
1043,8593,8118,1/9/19,1/12/19
1044,3336,8118,1/9/19,1/12/19
1045,6134,8118,1/9/19,1/12/19
1046,9457,8118,1/9/19,1/12/19
1047,2805,2666,1/9/19,1/12/19
1048,2382,2666,1/9/19,1/12/19
1049,9421,2666,1/9/19,1/12/19
1050,6770,2666,1/9/19,1/12/19
1051,7167,2666,1/9/19,1/12/19
1052,7317,2666,1/9/19,1/12/19
1053,6479,2666,1/9/19,1/12/19
1054,7310,2666,1/9/19,1/12/19
1055,8176,2666,1/9/19,1/12/19
1056,3362,2666,1/9/19,1/12/19
1057,1727,9080,1/9/19,1/12/19
1058,6704,1543,1/9/19,1/12/19
1059,8715,6509,1/9/19,1/12/19
1060,9175,6509,1/9/19,1/12/19
1061,8923,6509,1/9/19,1/12/19
1062,1232,6509,1/9/19,1/12/19
1063,1705,6509,1/9/19,1/12/19
1064,5302,6509,1/9/19,1/12/19
1065,7034,8118,1/10/19,1/13/19
1066,7206,8118,1/10/19,1/13/19
1067,9373,8118,1/10/19,1/13/19
1068,4936,8118,1/10/19,1/13/19
1069,8715,8118,1/10/19,1/13/19
1070,5520,8118,1/10/19,1/13/19
1071,7265,8118,1/10/19,1/13/19
1072,9025,8118,1/10/19,1/13/19
1073,8785,8118,1/10/19,1/13/19
1074,3824,2666,1/10/19,1/13/19
1075,7973,2666,1/10/19,1/13/19
1076,6770,2666,1/10/19,1/13/19
1077,8403,2666,1/10/19,1/13/19
1078,2728,2666,1/10/19,1/13/19
1079,9534,2666,1/10/19,1/13/19
1080,9060,2666,1/10/19,1/13/19
1081,2631,9080,1/10/19,1/13/19
1082,5883,9080,1/10/19,1/13/19
1083,5787,1543,1/10/19,1/13/19
1084,2898,1543,1/10/19,1/13/19
1085,8072,6509,1/10/19,1/13/19
1086,2437,6509,1/10/19,1/13/19
1087,2943,6509,1/10/19,1/13/19
1088,3621,6509,1/10/19,1/13/19
1089,2408,6509,1/10/19,1/13/19
1090,6240,6509,1/10/19,1/13/19
1091,1358,6509,1/10/19,1/13/19
1092,9447,6509,1/10/19,1/13/19
1093,9242,6509,1/10/19,1/13/19
1094,3514,6509,1/10/19,1/13/19
1095,2101,4338,1/10/19,1/13/19
1096,2924,4338,1/10/19,1/13/19
1097,6119,8118,1/11/19,1/14/19
1098,2431,8118,1/11/19,1/14/19
1099,8182,8118,1/11/19,1/14/19
1100,6860,8118,1/11/19,1/14/19
1101,3336,8118,1/11/19,1/14/19
1102,7937,8118,1/11/19,1/14/19
1103,8011,8118,1/11/19,1/14/19
1104,7898,2666,1/11/19,1/14/19
1105,8221,2666,1/11/19,1/14/19
1106,4495,2666,1/11/19,1/14/19
1107,7458,2666,1/11/19,1/14/19
1108,2277,2666,1/11/19,1/14/19
1109,3368,2666,1/11/19,1/14/19
1110,3311,2666,1/11/19,1/14/19
1111,1636,2666,1/11/19,1/14/19
1112,2440,2666,1/11/19,1/14/19
1113,3086,2666,1/11/19,1/14/19
1114,5263,2666,1/11/19,1/14/19
1115,3235,2666,1/11/19,1/14/19
1116,6767,2666,1/11/19,1/14/19
1117,2790,9080,1/11/19,1/14/19
1118,4952,1543,1/11/19,1/14/19
1119,6964,6509,1/11/19,1/14/19
1120,1483,6509,1/11/19,1/14/19
1121,2564,6509,1/11/19,1/14/19
1122,4272,6509,1/11/19,1/14/19
1123,4976,6509,1/11/19,1/14/19
1124,6575,6509,1/11/19,1/14/19
1125,2858,6509,1/11/19,1/14/19
1126,2220,6509,1/11/19,1/14/19
1127,6623,6509,1/11/19,1/14/19
1128,8380,6509,1/11/19,1/14/19
1129,8667,6509,1/11/19,1/14/19
1130,6037,4338,1/11/19,1/14/19
1131,5019,8118,1/12/19,1/15/19
1132,6483,8118,1/12/19,1/15/19
1133,6094,8118,1/12/19,1/15/19
1134,3423,8118,1/12/19,1/15/19
1135,9484,8118,1/12/19,1/15/19
1136,5111,8118,1/12/19,1/15/19
1137,8105,8118,1/12/19,1/15/19
1138,2363,2666,1/12/19,1/15/19
1139,2635,2666,1/12/19,1/15/19
1140,8068,2666,1/12/19,1/15/19
1141,8818,1543,1/12/19,1/15/19
1142,4710,6509,1/12/19,1/15/19
1143,7855,6509,1/12/19,1/15/19
1144,1679,6509,1/12/19,1/15/19
1145,6862,4338,1/12/19,1/15/19
1146,4858,4338,1/12/19,1/15/19
1147,5905,8118,1/13/19,1/16/19
1148,8903,8118,1/13/19,1/16/19
1149,7300,8118,1/13/19,1/16/19
1150,4047,8118,1/13/19,1/16/19
1151,7110,8118,1/13/19,1/16/19
1152,1529,8118,1/13/19,1/16/19
1153,7674,8118,1/13/19,1/16/19
1154,8419,8118,1/13/19,1/16/19
1155,1032,8118,1/13/19,1/16/19
1156,4186,8118,1/13/19,1/16/19
1157,2580,8118,1/13/19,1/16/19
1158,3557,2666,1/13/19,1/16/19
1159,7473,2666,1/13/19,1/16/19
1160,1852,2666,1/13/19,1/16/19
1161,4174,2666,1/13/19,1/16/19
1162,8685,2666,1/13/19,1/16/19
1163,2631,2666,1/13/19,1/16/19
1164,5010,2666,1/13/19,1/16/19
1165,2276,2666,1/13/19,1/16/19
1166,1843,2666,1/13/19,1/16/19
1167,2791,6509,1/13/19,1/16/19
1168,7078,6509,1/13/19,1/16/19
1169,1726,6509,1/13/19,1/16/19
1170,5531,6509,1/13/19,1/16/19
1171,9707,6509,1/13/19,1/16/19
1172,5960,6509,1/13/19,1/16/19
1173,8752,6509,1/13/19,1/16/19
1174,2495,6509,1/13/19,1/16/19
1175,2441,4338,1/13/19,1/16/19
1176,3123,8118,1/14/19,1/17/19
1177,1896,8118,1/14/19,1/17/19
1178,7115,8118,1/14/19,1/17/19
1179,7791,8118,1/14/19,1/17/19
1180,9894,8118,1/14/19,1/17/19
1181,9744,8118,1/14/19,1/17/19
1182,3124,2666,1/14/19,1/17/19
1183,4689,2666,1/14/19,1/17/19
1184,7712,2666,1/14/19,1/17/19
1185,6501,2666,1/14/19,1/17/19
1186,9411,9080,1/14/19,1/17/19
1187,4030,6509,1/14/19,1/17/19
1188,2721,6509,1/14/19,1/17/19
1189,4275,6509,1/14/19,1/17/19
1190,4268,6509,1/14/19,1/17/19
1191,6668,6509,1/14/19,1/17/19
1192,7182,4338,1/14/19,1/17/19
1193,9238,8118,1/15/19,1/18/19
1194,2527,8118,1/15/19,1/18/19
1195,8325,8118,1/15/19,1/18/19
1196,4465,8118,1/15/19,1/18/19
1197,7326,8118,1/15/19,1/18/19
1198,2714,8118,1/15/19,1/18/19
1199,9685,2666,1/15/19,1/18/19
1200,4439,2666,1/15/19,1/18/19
1201,6366,2666,1/15/19,1/18/19
1202,6183,2666,1/15/19,1/18/19
1203,2380,2666,1/15/19,1/18/19
1204,1994,2666,1/15/19,1/18/19
1205,1443,2666,1/15/19,1/18/19
1206,9601,9080,1/15/19,1/18/19
1207,6163,1543,1/15/19,1/18/19
1208,4410,1543,1/15/19,1/18/19
1209,9348,1543,1/15/19,1/18/19
1210,2286,1543,1/15/19,1/18/19
1211,7523,6509,1/15/19,1/18/19
1212,3998,6509,1/15/19,1/18/19
1213,7832,6509,1/15/19,1/18/19
1214,1077,6509,1/15/19,1/18/19
1215,6251,6509,1/15/19,1/18/19
1216,9820,6509,1/15/19,1/18/19
1217,7805,6509,1/15/19,1/18/19
1218,6692,4338,1/15/19,1/18/19
1219,3888,8118,1/16/19,1/19/19
1220,6906,8118,1/16/19,1/19/19
1221,4155,8118,1/16/19,1/19/19
1222,1944,8118,1/16/19,1/19/19
1223,7631,8118,1/16/19,1/19/19
1224,9053,8118,1/16/19,1/19/19
1225,1696,8118,1/16/19,1/19/19
1226,3873,8118,1/16/19,1/19/19
1227,2617,8118,1/16/19,1/19/19
1228,8765,8118,1/16/19,1/19/19
1229,5339,8118,1/16/19,1/19/19
1230,3812,2666,1/16/19,1/19/19
1231,5250,2666,1/16/19,1/19/19
1232,7808,2666,1/16/19,1/19/19
1233,8356,2666,1/16/19,1/19/19
1234,2223,2666,1/16/19,1/19/19
1235,8111,2666,1/16/19,1/19/19
1236,4935,2666,1/16/19,1/19/19
1237,5198,2666,1/16/19,1/19/19
1238,5475,9080,1/16/19,1/19/19
1239,8970,1543,1/16/19,1/19/19
1240,3086,1543,1/16/19,1/19/19
1241,7281,6509,1/16/19,1/19/19
1242,9807,6509,1/16/19,1/19/19
1243,1939,6509,1/16/19,1/19/19
1244,7177,6509,1/16/19,1/19/19
1245,6828,6509,1/16/19,1/19/19
1246,5182,6509,1/16/19,1/19/19
1247,3487,6509,1/16/19,1/19/19
1248,3583,6509,1/16/19,1/19/19
1249,1680,6509,1/16/19,1/19/19
1250,7701,6509,1/16/19,1/19/19
1251,8765,8118,1/17/19,1/20/19
1252,7644,8118,1/17/19,1/20/19
1253,8501,8118,1/17/19,1/20/19
1254,3516,8118,1/17/19,1/20/19
1255,2394,8118,1/17/19,1/20/19
1256,7512,8118,1/17/19,1/20/19
1257,1919,8118,1/17/19,1/20/19
1258,5371,8118,1/17/19,1/20/19
1259,9622,8118,1/17/19,1/20/19
1260,3256,8118,1/17/19,1/20/19
1261,7452,8118,1/17/19,1/20/19
1262,1219,8118,1/17/19,1/20/19
1263,5747,8118,1/17/19,1/20/19
1264,7118,8118,1/17/19,1/20/19
1265,2485,8118,1/17/19,1/20/19
1266,9567,2666,1/17/19,1/20/19
1267,5886,2666,1/17/19,1/20/19
1268,2391,2666,1/17/19,1/20/19
1269,5841,2666,1/17/19,1/20/19
1270,1763,2666,1/17/19,1/20/19
1271,1547,2666,1/17/19,1/20/19
1272,2090,2666,1/17/19,1/20/19
1273,1175,2666,1/17/19,1/20/19
1274,2289,9080,1/17/19,1/20/19
1275,6101,6509,1/17/19,1/20/19
1276,2940,6509,1/17/19,1/20/19
1277,8246,6509,1/17/19,1/20/19
1278,6689,6509,1/17/19,1/20/19
1279,1416,6509,1/17/19,1/20/19
1280,7340,6509,1/17/19,1/20/19
1281,7376,6509,1/17/19,1/20/19
1282,9753,8118,1/18/19,1/21/19
1283,4888,8118,1/18/19,1/21/19
1284,9882,8118,1/18/19,1/21/19
1285,3712,8118,1/18/19,1/21/19
1286,1821,8118,1/18/19,1/21/19
1287,6652,8118,1/18/19,1/21/19
1288,1556,8118,1/18/19,1/21/19
1289,1621,8118,1/18/19,1/21/19
1290,6394,8118,1/18/19,1/21/19
1291,8643,8118,1/18/19,1/21/19
1292,8937,8118,1/18/19,1/21/19
1293,2447,2666,1/18/19,1/21/19
1294,1981,2666,1/18/19,1/21/19
1295,2719,2666,1/18/19,1/21/19
1296,9300,2666,1/18/19,1/21/19
1297,7901,2666,1/18/19,1/21/19
1298,2746,2666,1/18/19,1/21/19
1299,3675,2666,1/18/19,1/21/19
1300,9710,2666,1/18/19,1/21/19
1301,1928,2666,1/18/19,1/21/19
1302,8485,1543,1/18/19,1/21/19
1303,8927,1543,1/18/19,1/21/19
1304,2813,6509,1/18/19,1/21/19
1305,4568,6509,1/18/19,1/21/19
1306,3912,6509,1/18/19,1/21/19
1307,6910,6509,1/18/19,1/21/19
1308,6962,6509,1/18/19,1/21/19
1309,1388,6509,1/18/19,1/21/19
1310,1710,4338,1/18/19,1/21/19
1311,3030,4338,1/18/19,1/21/19
1312,1808,8118,1/19/19,1/22/19
1313,9339,8118,1/19/19,1/22/19
1314,6633,8118,1/19/19,1/22/19
1315,5207,8118,1/19/19,1/22/19
1316,7565,8118,1/19/19,1/22/19
1317,2179,8118,1/19/19,1/22/19
1318,3803,2666,1/19/19,1/22/19
1319,1377,2666,1/19/19,1/22/19
1320,1648,2666,1/19/19,1/22/19
1321,2234,2666,1/19/19,1/22/19
1322,4649,2666,1/19/19,1/22/19
1323,2860,9080,1/19/19,1/22/19
1324,8783,1543,1/19/19,1/22/19
1325,2189,1543,1/19/19,1/22/19
1326,8770,6509,1/19/19,1/22/19
1327,1152,6509,1/19/19,1/22/19
1328,7917,6509,1/19/19,1/22/19
1329,5111,6509,1/19/19,1/22/19
1330,6158,6509,1/19/19,1/22/19
1331,5681,6509,1/19/19,1/22/19
1332,1451,4338,1/19/19,1/22/19
1333,2055,8118,1/20/19,1/23/19
1334,4366,8118,1/20/19,1/23/19
1335,3869,8118,1/20/19,1/23/19
1336,9219,8118,1/20/19,1/23/19
1337,6460,8118,1/20/19,1/23/19
1338,8100,8118,1/20/19,1/23/19
1339,3739,8118,1/20/19,1/23/19
1340,4750,2666,1/20/19,1/23/19
1341,1723,2666,1/20/19,1/23/19
1342,9922,2666,1/20/19,1/23/19
1343,3058,2666,1/20/19,1/23/19
1344,8541,2666,1/20/19,1/23/19
1345,7872,2666,1/20/19,1/23/19
1346,3047,2666,1/20/19,1/23/19
1347,2360,2666,1/20/19,1/23/19
1348,2680,2666,1/20/19,1/23/19
1349,1635,9080,1/20/19,1/23/19
1350,8524,9080,1/20/19,1/23/19
1351,5072,1543,1/20/19,1/23/19
1352,3881,1543,1/20/19,1/23/19
1353,9118,1543,1/20/19,1/23/19
1354,5095,6509,1/20/19,1/23/19
1355,3148,6509,1/20/19,1/23/19
1356,3604,6509,1/20/19,1/23/19
1357,6693,6509,1/20/19,1/23/19
1358,2398,6509,1/20/19,1/23/19
1359,2188,6509,1/20/19,1/23/19
1360,9722,4338,1/20/19,1/23/19
1361,7400,4338,1/20/19,1/23/19
1362,7410,8118,1/21/19,1/24/19
1363,5295,8118,1/21/19,1/24/19
1364,6261,8118,1/21/19,1/24/19
1365,2658,8118,1/21/19,1/24/19
1366,8206,8118,1/21/19,1/24/19
1367,9137,2666,1/21/19,1/24/19
1368,6176,2666,1/21/19,1/24/19
1369,5624,2666,1/21/19,1/24/19
1370,9056,2666,1/21/19,1/24/19
1371,4256,2666,1/21/19,1/24/19
1372,3363,2666,1/21/19,1/24/19
1373,3332,2666,1/21/19,1/24/19
1374,4982,2666,1/21/19,1/24/19
1375,7483,2666,1/21/19,1/24/19
1376,9909,2666,1/21/19,1/24/19
1377,2857,2666,1/21/19,1/24/19
1378,7733,2666,1/21/19,1/24/19
1379,1041,1543,1/21/19,1/24/19
1380,9028,6509,1/21/19,1/24/19
1381,6470,6509,1/21/19,1/24/19
1382,9494,6509,1/21/19,1/24/19
1383,1039,6509,1/21/19,1/24/19
1384,9857,6509,1/21/19,1/24/19
1385,2008,6509,1/21/19,1/24/19
1386,9730,6509,1/21/19,1/24/19
1387,6064,6509,1/21/19,1/24/19
1388,9713,8118,1/22/19,1/25/19
1389,7305,8118,1/22/19,1/25/19
1390,3879,8118,1/22/19,1/25/19
1391,9274,8118,1/22/19,1/25/19
1392,1566,8118,1/22/19,1/25/19
1393,5955,8118,1/22/19,1/25/19
1394,2938,8118,1/22/19,1/25/19
1395,1347,8118,1/22/19,1/25/19
1396,9882,8118,1/22/19,1/25/19
1397,4107,8118,1/22/19,1/25/19
1398,6814,2666,1/22/19,1/25/19
1399,8392,2666,1/22/19,1/25/19
1400,9803,2666,1/22/19,1/25/19
1401,5441,2666,1/22/19,1/25/19
1402,7582,2666,1/22/19,1/25/19
1403,1470,2666,1/22/19,1/25/19
1404,7372,2666,1/22/19,1/25/19
1405,6168,2666,1/22/19,1/25/19
1406,4339,2666,1/22/19,1/25/19
1407,4752,2666,1/22/19,1/25/19
1408,6248,1543,1/22/19,1/25/19
1409,6444,6509,1/22/19,1/25/19
1410,1763,6509,1/22/19,1/25/19
1411,6560,6509,1/22/19,1/25/19
1412,8153,6509,1/22/19,1/25/19
1413,7529,6509,1/22/19,1/25/19
1414,5729,6509,1/22/19,1/25/19
1415,8932,6509,1/22/19,1/25/19
1416,7305,4338,1/22/19,1/25/19
1417,4230,8118,1/23/19,1/26/19
1418,3159,8118,1/23/19,1/26/19
1419,6683,8118,1/23/19,1/26/19
1420,2205,8118,1/23/19,1/26/19
1421,6787,8118,1/23/19,1/26/19
1422,4168,8118,1/23/19,1/26/19
1423,4826,8118,1/23/19,1/26/19
1424,2166,8118,1/23/19,1/26/19
1425,9382,8118,1/23/19,1/26/19
1426,6478,2666,1/23/19,1/26/19
1427,1675,2666,1/23/19,1/26/19
1428,5654,2666,1/23/19,1/26/19
1429,2337,2666,1/23/19,1/26/19
1430,5611,2666,1/23/19,1/26/19
1431,9172,2666,1/23/19,1/26/19
1432,9546,2666,1/23/19,1/26/19
1433,8345,2666,1/23/19,1/26/19
1434,1195,2666,1/23/19,1/26/19
1435,5020,2666,1/23/19,1/26/19
1436,2146,9080,1/23/19,1/26/19
1437,9239,9080,1/23/19,1/26/19
1438,1668,9080,1/23/19,1/26/19
1439,4679,6509,1/23/19,1/26/19
1440,7155,6509,1/23/19,1/26/19
1441,7033,6509,1/23/19,1/26/19
1442,7413,6509,1/23/19,1/26/19
1443,1148,8118,1/24/19,1/27/19
1444,5073,8118,1/24/19,1/27/19
1445,2760,8118,1/24/19,1/27/19
1446,1061,8118,1/24/19,1/27/19
1447,8350,8118,1/24/19,1/27/19
1448,4589,8118,1/24/19,1/27/19
1449,8286,8118,1/24/19,1/27/19
1450,5124,8118,1/24/19,1/27/19
1451,1601,8118,1/24/19,1/27/19
1452,3721,8118,1/24/19,1/27/19
1453,8676,8118,1/24/19,1/27/19
1454,2069,8118,1/24/19,1/27/19
1455,5198,2666,1/24/19,1/27/19
1456,8351,2666,1/24/19,1/27/19
1457,1202,2666,1/24/19,1/27/19
1458,8798,2666,1/24/19,1/27/19
1459,3601,2666,1/24/19,1/27/19
1460,4425,2666,1/24/19,1/27/19
