Movie_Title,Release_Date,Wikipedia_URL,Genre_1,Genre_2,Director_1,Director_2,Cast_1,Cast_2,Cast_3,Cast_4,Cast_5,Budget,Box_Office_Revenue
10 Cloverfield Lane,2016-03-08,https://en.wikipedia.org/wiki/10_Cloverfield_Lane,Thriller,Horror,Dan Trachtenberg,,Mary Elizabeth Winstead,John Goodman,John Gallagher,,,15000000,108300000
13 Hours: The Secret Soldiers of Benghazi,2016-01-15,https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi,Action,Thriller,Michael Bay,,James Badge Dale,John Krasinski,Toby Stephens,Pablo Schreiber,Max Martini,45000000,69400000
2 Guns,2013-08-02,https://en.wikipedia.org/wiki/2_Guns,Action,Crime,Baltasar Kormákur,,Mark Wahlberg,Denzel Washington,Paula Patton,Bill Paxton,Edward James Olmos,61000000,131900000
21 Jump Street,2012-03-16,https://en.wikipedia.org/wiki/21_Jump_Street_(film),Comedy,Action,Phil Lord,Chris Miller,Jonah Hill,Channing Tatum,Ice Cube,Brie Larson,Rob Riggle,55000000,201500000
22 Jump Street,2014-06-04,https://en.wikipedia.org/wiki/22_Jump_Street,Action,Comedy,Phil Lord,Chris Miller,Channing Tatum,Jonah Hill,Ice Cube,,,84500000,331300000
300: Rise of an Empire,2014-03-04,https://en.wikipedia.org/wiki/300:_Rise_of_an_Empire,Action,Fantasy,Noam Murro,,Rodrigo Santoro,Eva Green,Sullivan Stapleton,Hans Matheson,Lena Headey,110000000,337600000
42,2013-04-12,https://en.wikipedia.org/wiki/42_(film),Biography,Drama,Brian Helgeland,,Harrison Ford,Chadwick Boseman,Christopher Meloni,Ryan Merriman,Andre Holland,40000000,97500000
71,2014-02-07,https://en.wikipedia.org/wiki/%252771_(film),Action,Drama,Yann Demange,,Jack O'Connell,Richard Dormer,Sean Harris,Sam Reid,,8100000,2900000
90 Minutes in Heaven,2015-09-11,https://en.wikipedia.org/wiki/90_Minutes_in_Heaven_(film),Drama,,Michael Polish,,Hayden Christensen,Kate Bosworth,Dwight Yoakam,Michael W. Smith,,5000000,4800000
A Good Day to Die Hard,2013-02-14,https://en.wikipedia.org/wiki/A_Good_Day_to_Die_Hard,Action,Thriller,John Moore,,Bruce Willis,Jai Courtney,Sebastian Koch,Yuliya Snigir,Radivoje Bukvić,92000000,304700000
A Haunted House,2013-01-11,https://en.wikipedia.org/wiki/A_Haunted_House_(film),Comedy,Horror,Michael Tiddes,,Marlon Wayans,Nick Swardson,David Koechner,Essence Atkins,Cedric the Entertainer,2500000,60100000
A Haunted House 2,2014-04-18,https://en.wikipedia.org/wiki/A_Haunted_House_2,Comedy,,Michael Tiddes,,Marlon Wayans,Jaime Pressly,Essence Atkins,Cedric the Entertainer,Gabriel Iglesias,4000000,24000000
A Long Way Down,2014-02-10,https://en.wikipedia.org/wiki/A_Long_Way_Down_(film),Comedy,,Pascal Chaumeil,,Toni Collette,Pierce Brosnan,Aaron Paul,Imogen Poots,,22700000,7100000
A Most Violent Year,2014-11-06,https://en.wikipedia.org/wiki/A_Most_Violent_Year,Action,Crime,J. C. Chandor,,Oscar Isaac,Jessica Chastain,Alessandro Nivola,David Oyelowo,Albert Brooks,20000000,12000000
A Most Wanted Man,2014-01-19,https://en.wikipedia.org/wiki/A_Most_Wanted_Man_(film),Thriller,,Anton Corbijn,,Philip Seymour Hoffman,Rachel McAdams,Robin Wright,Willem Dafoe,Grigoriy Dobrygin,15000000,36200000
A Thousand Words,2012-03-09,https://en.wikipedia.org/wiki/A_Thousand_Words_(film),Comedy,,Brian Robbins,,Eddie Murphy,Kerry Washington,Cliff Curtis,Clark Duke,Allison Janney,40000000,22000000
A Walk Among the Tombstones,2014-09-19,https://en.wikipedia.org/wiki/A_Walk_Among_the_Tombstones_(film),Crime,Drama,Scott Frank,,Liam Neeson,Dan Stevens,Ruth Wilson,Boyd Holbrook,,28000000,58800000
A Walk in the Woods,2015-01-23,https://en.wikipedia.org/wiki/A_Walk_in_the_Woods_(film),Adventure,Comedy,Ken Kwapis,,Robert Redford,Nick Nolte,Emma Thompson,,,8000000,36000000
Abraham Lincoln: Vampire Hunter,2012-06-22,https://en.wikipedia.org/wiki/Abraham_Lincoln:_Vampire_Hunter_(film),Horror,Action,Timur Bekmambetov,,Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell,99500000,116400000
After Earth,2013-05-31,https://en.wikipedia.org/wiki/After_Earth,Sci-Fi,,M. Night Shyamalan,,Jaden Smith,Will Smith,Isabelle Fuhrman,Zoe Kravitz,,130000000,243800000
Ain't Them Bodies Saints,2013-08-16,https://en.wikipedia.org/wiki/Ain%2527t_Them_Bodies_Saints,Drama,,David Lowery,,Casey Affleck,Rooney Mara,Ben Foster,Rami Malek,Keith Carradine,4000000,1000000
Alex Cross,2012-10-19,https://en.wikipedia.org/wiki/Alex_Cross_(film),Crime,Action,Rob Cohen,,Tyler Perry,Matthew Fox,Rachel Nichols,Edward Burns,Jean Reno,35000000,34600000
Aloha,2015-05-27,https://en.wikipedia.org/wiki/Aloha_(film),Romance,Comedy,Cameron Crowe,,Bradley Cooper,Emma Stone,Alec Baldwin,Rachel McAdams,Bill Murray,52000000,26300000
Alvin and the Chipmunks: The Road Chip,2015-12-18,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_The_Road_Chip,Comedy,Family,Walt Becker,,Jason Lee,Tony Hale,Kimberly Williams-Paisley,Josh Green,Bella Thorne,90000000,234800000
American Reunion,2012-04-06,https://en.wikipedia.org/wiki/American_Reunion,Comedy,,Jon Hurwitz,,Alyson Hannigan,Seann William Scott,Tara Reid,Jason Biggs,Eugene Levy,50000000,235000000
American Sniper,2014-11-11,https://en.wikipedia.org/wiki/American_Sniper,Drama,,Clint Eastwood,,Bradley Cooper,Sienna Miller,Max Charles,Luke Grimes,,58800000,547400000
American Ultra,2015-08-21,https://en.wikipedia.org/wiki/American_Ultra,Action,Comedy,Nima Nourizadeh,,Jesse Eisenberg,Kristen Stewart,Connie Britton,Topher Grace,John Leguizamo,28000000,27100000
Amy,2015-06-16,https://en.wikipedia.org/wiki/Amy_(2015_film),Biography,Documentary,Asif Kapadia,,Amy Winehouse,Mitchell Winehouse,Janis Winehouse,Raye Cosbert,Nick Shymansky,3400000,22000000
Annabelle,2014-09-26,https://en.wikipedia.org/wiki/Annabelle_(film),Horror,,John R. Leonetti,,Annabelle Wallis,Alfre Woodard,Eric Ladin,Brian Howe,,6500000,256900000
Annie,2014-12-07,https://en.wikipedia.org/wiki/Annie_(2014_film),Comedy,Drama,Will Gluck,,Quvenzhané Wallis,Jamie Foxx,Cameron Diaz,Rose Byrne,Bobby Cannavale,65000000,133800000
Ant-Man,2015-06-29,https://en.wikipedia.org/wiki/Ant-Man_(film),Action,Adventure,Peyton Reed,,Paul Rudd,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Michael Peña,130000000,519400000
Argo,2012-10-12,https://en.wikipedia.org/wiki/Argo_(2012_film),Drama,,Ben Affleck,,Ben Affleck,John Goodman,Alan Arkin,Bryan Cranston,Victor Garber,44500000,232300000
"As Above, So Below",2014-08-29,"https://en.wikipedia.org/wiki/As_Above,_So_Below_(film)",Horror,,John Erick Dowdle,,Drew Dowdle (screenplay)Perdita Weeks,Ben Feldman,Edwin Hodge,François Civil,Marion Lambert,5000000,5000000
Bad Moms,2016-07-29,https://en.wikipedia.org/wiki/Bad_Moms,Comedy,,Jon Lucas,Scott Moore,Mila Kunis,Christina Applegate,Kristen Bell,Jada Pinkett Smith,Kathryn Hahn,20000000,124200000
Barbershop: The Next Cut,2016-04-15,https://en.wikipedia.org/wiki/Barbershop:_The_Next_Cut,Comedy,,Malcolm D. Lee,,Ice Cube,Cedric the Entertainer,Nicki Minaj,Regina Hall,Eve,20000000,55000000
Batman v Superman: Dawn of Justice,2016-03-19,https://en.wikipedia.org/wiki/Batman_v_Superman:_Dawn_of_Justice,Action,,Zack Snyder,,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,250000000,872700000
Batman: The Killing Joke,2016-07-25,https://en.wikipedia.org/wiki/Batman:_The_Killing_Joke_(film),Action,,Sam Liu,Bruce Timm,Kevin Conroy,Mark Hamill,Tara Strong,Ray Wise,,3500000,4400000
Battle of the Year,2013-09-20,https://en.wikipedia.org/wiki/Battle_of_the_Year_(film),Musical,,Benson Lee,,Josh Holloway,Laz Alonso,Josh Peck,Caity Lotz,Chris Brown,20000000,16500000
Battleship,2012-05-18,https://en.wikipedia.org/wiki/Battleship_(film),Action,Sci-Fi,Peter Berg,,Alexander Skarsgård,Taylor Kitsch,Brooklyn Decker,Rihanna,Liam Neeson,220000000,303000000
Beasts of the Southern Wild,2012-06-27,https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild,Drama,Fantasy,Benh Zeitlin,,Quvenzhané Wallis,Dwight Henry,,,,1800000,21900000
Beautiful Creatures,2013-02-14,https://en.wikipedia.org/wiki/Beautiful_Creatures_(2013_film),Fantasy,Romance,Richard LaGravenese,,Viola Davis,Alice Englert,Emma Thompson,Emmy Rossum,Jeremy Irons,60000000,60100000
Before I Go to Sleep,2014-09-04,https://en.wikipedia.org/wiki/Before_I_Go_to_Sleep_(film),Mystery,Thriller,Rowan Joffé,,Nicole Kidman,Mark Strong,Colin Firth,Anne-Marie Duff,,22000000,15100000
Ben-Hur,2016-08-19,https://en.wikipedia.org/wiki/Ben-Hur_(2016_film),Adventure,,Timur Bekmambetov,,Jack Huston,Morgan Freeman,Toby Kebbell,Rodrigo Santoro,Nazanin Boniadi,100000000,41400000
Beyond the Lights,2014-09-06,https://en.wikipedia.org/wiki/Beyond_the_Lights,Romance,Drama,Gina Prince-Bythewood,,Gugu Mbatha-Raw,Nate Parker,Minnie Driver,Danny Glover,,7000000,14600000
Big Eyes,2014-12-25,https://en.wikipedia.org/wiki/Big_Eyes,Biography,Drama,Tim Burton,,Amy Adams,Christoph Waltz,Krysten Ritter,Danny Huston,Terence Stamp,10000000,29300000
Black Mass,2015-09-04,https://en.wikipedia.org/wiki/Black_Mass_(film),Action,Drama,Scott Cooper,,Johnny Depp,Joel Edgerton,Benedict Cumberbatch,Sienna Miller,Dakota Johnson,53000000,99800000
Blackhat,2015-01-08,https://en.wikipedia.org/wiki/Blackhat_(film),Action,Thriller,Michael Mann,,Chris Hemsworth,Viola Davis,John Ortiz,Yorick van Wageningen,Tang Wei,70000000,19700000
Blended,2014-05-23,https://en.wikipedia.org/wiki/Blended_(film),Comedy,Romance,Frank Coraci,,Adam Sandler,Drew Barrymore,Bella Thorne,Emma Fuhrmann,Terry Crews,40000000,128000000
Blue Jasmine,2013-07-26,https://en.wikipedia.org/wiki/Blue_Jasmine,Drama,,Woody Allen,,Alec Baldwin,Cate Blanchett,Bobby Cannavale,Louis C.K.,Andrew Dice Clay,18000000,97500000
Boyhood,2014-01-19,https://en.wikipedia.org/wiki/Boyhood_(film),Drama,,Richard Linklater,,Ethan Hawke,Patricia Arquette,Ellar Coltrane,,,4000000,44500000
Brick Mansions,2014-04-23,https://en.wikipedia.org/wiki/Brick_Mansions,Action,,Camille Delamarre,,Paul Walker,David Belle,RZA,,,23000000,69000000
Bridge of Spies,2015-10-04,https://en.wikipedia.org/wiki/Bridge_of_Spies_(film),Drama,,Steven Spielberg,,Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Austin Stowell,40000000,165500000
Brooklyn,2015-01-26,https://en.wikipedia.org/wiki/Brooklyn_(film),Drama,Romance,John Crowley,,Saoirse Ronan,Emory Cohen,Domhnall Gleeson,Jim Broadbent,Julie Walters,11000000,62100000
Bullet to the Head,2013-02-01,https://en.wikipedia.org/wiki/Bullet_to_the_Head,Crime,Action,Walter Hill,,Sylvester Stallone,Sung Kang,Sarah Shahi,Adewale Akinnuoye-Agbaje,Religious Slater,55000000,21900000
Burnt,2015-10-06,https://en.wikipedia.org/wiki/Burnt_(film),Comedy,Drama,John Wells,,Bradley Cooper,Jamie Dornan,Emma Thompson,Sienna Miller,Daniel Brühl,20000000,36600000
By the Sea,2015-11-05,https://en.wikipedia.org/wiki/By_the_Sea_(2015_film),Drama,,Angelina Jolie,,Angelina Jolie,Brad Pitt,Mélanie Laurent,Niels Arestrup,Melvil Poupaud,10000000,3300000
Captain America: The Winter Soldier,2014-03-13,https://en.wikipedia.org/wiki/Captain_America:_The_Winter_Soldier,Action,,Anthony Russo,Joe Russo,Chris Evans,Scarlett Johansson,Sebastian Stan,Anthony Mackie,Cobie Smulders,170000000,714400000
Captive,2015-09-18,https://en.wikipedia.org/wiki/Captive_(2015_film),Crime,Thriller,Jerry Jameson,,David Oyelowo,Kate Mara,Michael K. Williams,Leonor Varela,Jessica Oyelowo,2000000,2800000
Carol,2015-05-17,https://en.wikipedia.org/wiki/Carol_(film),Drama,,Todd Haynes,,Cate Blanchett,Rooney Mara,Sarah Paulson,Kyle Chandler,Jake Lacy,11800000,40300000
Central Intelligence,2016-06-10,https://en.wikipedia.org/wiki/Central_Intelligence,Action,Comedy,Rawson Marshall Thurber,,Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul,,50000000,212200000
Cesar Chavez,2014-02-12,https://en.wikipedia.org/wiki/Cesar_Chavez_(film),Drama,,Diego Luna,,Michael Peña,America Ferrera,Rosario Dawson,John Malkovich,,10000000,6700000
Chappie,2015-03-04,https://en.wikipedia.org/wiki/Chappie_(film),Sci-Fi,,Neill Blomkamp,,Sharlto Copley,Ninja,Yolandi Visser,Dev Patel,Hugh Jackman,49000000,102100000
Chasing Mavericks,2012-10-26,https://en.wikipedia.org/wiki/Chasing_Mavericks,Biography,Drama,Curtis Hanson,Michael Apted,Gerard Butler,Jonny Weston,Elisabeth Shue,Abigail Spencer,,20000000,8300000
Chef,2014-03-07,https://en.wikipedia.org/wiki/Chef_(film),Comedy,,Jon Favreau,,Jon Favreau,Sofía Vergara,Scarlett Johansson,John Leguizamo,Robert Downey,11000000,46000000
Chernobyl Diaries,2012-05-25,https://en.wikipedia.org/wiki/Chernobyl_Diaries,Horror,Thriller,Bradley Parker,,Jonathan Sadowski,Devin Kelley,Jesse McCartney,Olivia Taylor Dudley,Nathan Phillips,1000000,37200000
Child 44,2015-04-17,https://en.wikipedia.org/wiki/Child_44_(film),Drama,,Daniel Espinosa,,Tom Hardy,Gary Oldman,Joel Kinnaman,Noomi Rapace,Jason Clarke,50000000,13000000
Chronicle,2012-02-03,https://en.wikipedia.org/wiki/Chronicle_(film),Sci-Fi,Drama,Josh Trank,,Dane DeHaan,Michael B. Jordan,Alex Russell,Michael Kelly,,12000000,126600000
Cloud Atlas,2012-10-26,https://en.wikipedia.org/wiki/Cloud_Atlas_(film),Drama,Sci-Fi,Tom Tykwer,Andy Wachowski,Tom Hanks,Jim Sturgess,David Gyasi,Jim Broadbent,Ben Whishaw,128500000,130500000
Cloudy with a Chance of Meatballs 2,2013-09-27,https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_2,Family,Comedy,Cody Cameron,Kris Pearn,Anna Faris,Bill Hader,Andy Samberg,Kristen Schaal,James Caan,78000000,274300000
Concussion,2015-12-25,https://en.wikipedia.org/wiki/Concussion_(2015_film),Drama,Sports,Peter Landesman,,Will Smith,Alec Baldwin,Gugu Mbatha-Raw,Albert Brooks,Paul Reiser,57000000,50300000
Creed,2015-11-25,https://en.wikipedia.org/wiki/Creed_(film),Drama,,Ryan Coogler,,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Graham McTavish,Tony Bellew,40000000,173600000
Criminal,2016-04-15,https://en.wikipedia.org/wiki/Criminal_(2016_film),Action,Thriller,Ariel Vromen,,Kevin Costner,Gary Oldman,Tommy Lee Jones,Alice Eve,Gal Gadot,31500000,35600000
Crimson Peak,2015-10-16,https://en.wikipedia.org/wiki/Crimson_Peak,Horror,Romance,Guillermo del Toro,,Mia Wasikowska,Tom Hiddleston,Charlie Hunnam,Jessica Chastain,Jim Beaver,55000000,74700000
Daddy's Home,2015-12-25,https://en.wikipedia.org/wiki/Daddy%2527s_Home_(film),Comedy,,Sean Anders,John Morris,Will Ferrell,Mark Wahlberg,Linda Cardellini,,,69000000,240400000
Danny Collins,2015-03-20,https://en.wikipedia.org/wiki/Danny_Collins_(film),Comedy,Drama,Dan Fogelman,,Al Pacino,Annette Bening,Jennifer Garner,Bobby Cannavale,Christopher Plummer,10000000,8200000
Dark Shadows,2012-05-11,https://en.wikipedia.org/wiki/Dark_Shadows_(film),Comedy,Horror,Tim Burton,,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Eva Green,Jackie Earle Haley,150000000,245500000
Dark Skies,2013-02-22,https://en.wikipedia.org/wiki/Dark_Skies_(film),Horror,Sci-Fi,Scott Charles Stewart,,Keri Russell,Josh Hamilton,Dakota Goyo,,,3500000,26400000
Dawn of the Planet of the Apes,2014-06-26,https://en.wikipedia.org/wiki/Dawn_of_the_Planet_of_the_Apes,Action,Adventure,Matt Reeves,,Andy Serkis,Gary Oldman,Jason Clarke,Kodi Smit-McPhee,Keri Russell,235000000,710600000
Dead Man Down,2013-03-08,https://en.wikipedia.org/wiki/Dead_Man_Down,Action,,Niels Arden Oplev,,Colin Farrell,Noomi Rapace,Dominic Cooper,Terrence Howard,Wade Barrett,30000000,18100000
Deadpool,2016-02-08,https://en.wikipedia.org/wiki/Deadpool_(film),Action,,Tim Miller,,Ryan Reynolds,Gina Carano,T. J. Miller,Ed Skrein,Morena Baccarin,58000000,782600000
Declaration of War,2012-01-27,https://en.wikipedia.org/wiki/Declaration_of_War_(film),Romance,Drama,Valérie Donzelli,,Valérie Donzelli (director),,,,,1500000,6500000
Deliver Us from Evil,2014-07-02,https://en.wikipedia.org/wiki/Deliver_Us_from_Evil_(2014_film),Horror,Thriller,Scott Derrickson,Paul Harris,Eric Bana,Édgar Ramírez,Olivia Munn,Joel McHale,,30000000,87900000
Despicable Me 2,2013-06-20,https://en.wikipedia.org/wiki/Despicable_Me_2,Comedy,Family,Chris Renaud,Pierre Coffin,Steve Carell,Kristen Wiig,Miranda Cosgrove,Dana Gaier,Elsie Fisher,76000000,970800000
Devil's Due,2014-01-17,https://en.wikipedia.org/wiki/Devil%2527s_Due_(film),Horror,Thriller,Matt Bettinelli-Olpin,Tyler Gillett,Allison Miller,Zach Gilford,Sam Anderson,Aimee Carrero,Vanessa Ray,7000000,36900000
Diary of a Wimpy Kid: Dog Days,2012-08-03,https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid:_Dog_Days_(film),Comedy,Family,David Bowers,,Zachary Gordon,Robert Capron,Rachael Harris,Devon Bostick,Steve Zahn,22000000,77100000
Divergent,2014-03-18,https://en.wikipedia.org/wiki/Divergent_(film),Sci-Fi,Action,Neil Burger,,Shailene Woodley,Kate Winslet,Theo James,Ansel Elgort,Zoë Kravitz,85000000,288900000
Django Unchained,2012-12-25,https://en.wikipedia.org/wiki/Django_Unchained,Action,Drama,Quentin Tarantino,,Christoph Waltz,Jamie Foxx,Leonardo DiCaprio,Samuel L. Jackson,Bruce Dern,100000000,425400000
Dolphin Tale 2,2014-09-12,https://en.wikipedia.org/wiki/Dolphin_Tale_2,Family,,Charles Martin Smith,,Winter,Hope,Nathan Gamble,Harry Connick,Jr.,36000000,57800000
Don't Breathe,2016-08-26,https://en.wikipedia.org/wiki/Don%2527t_Breathe_(2016_film),Thriller,,Fede Alvarez,,Dylan Minnette,Stephen Lang,Daniel Zovatto,,,9900000,28300000
Dr. Seuss' The Lorax,2012-03-02,https://en.wikipedia.org/wiki/The_Lorax_(film),Family,,Chris Renaud,,Danny DeVito,Zac Efron,Taylor Swift,Ed Helms,Rob Riggle,70000000,348800000
Dracula Untold,2014-10-10,https://en.wikipedia.org/wiki/Dracula_Untold,Drama,Horror,Gary Shore,,Luke Evans,Sarah Gadon,William Houston,Dominic Cooper,Samantha Barks,70000000,217100000
Draft Day,2014-04-07,https://en.wikipedia.org/wiki/Draft_Day,Drama,Sports,Ivan Reitman,,Kevin Costner,Jennifer Garner,Denis Leary,Frank Langella,Tom Welling,25000000,29500000
Dragon Blade,2015-02-18,https://en.wikipedia.org/wiki/Dragon_Blade_(film),Action,,Daniel Lee,,Jackie Chan,Choi Siwon,John Cusack,Adrien Brody,James Lee Guy,65000000,120000000
Dumb and Dumber To,2014-11-14,https://en.wikipedia.org/wiki/Dumb_and_Dumber_To,Comedy,,Peter Farrelly,Bobby Farrelly,Jim Carrey,Jeff Daniels,Kathleen Turner,Laurie Holden,,50000000,169800000
Earth to Echo,2014-06-14,https://en.wikipedia.org/wiki/Earth_to_Echo,Sci-Fi,Family,Dave Green,,Astro,Teo Halm,Reese Hartwig,Ella Wahlestedt,,13000000,45300000
Eddie the Eagle,2016-02-26,https://en.wikipedia.org/wiki/Eddie_the_Eagle_(film),Drama,Comedy,Dexter Fletcher,,Taron Egerton,Christopher Walken,Hugh Jackman,,,23000000,46200000
Edge of Tomorrow,2014-05-28,https://en.wikipedia.org/wiki/Edge_of_Tomorrow_(film),Action,Sci-Fi,Doug Liman,,Tom Cruise,Emily Blunt,,,,178000000,370500000
Elysium,2013-08-09,https://en.wikipedia.org/wiki/Elysium_(film),Sci-Fi,,Neill Blomkamp,,Matt Damon,Jodie Foster,Sharlto Copley,Wagner Moura,Alice Braga,115000000,286100000
Embrace of the Serpent,2015-05-15,https://en.wikipedia.org/wiki/Embrace_of_the_Serpent,Adventure,Drama,Ciro Guerra,,Jan Bijvoet,Nilbio Torres,Antonio Bolívar,,,1400000,2800000
End of Watch,2012-09-21,https://en.wikipedia.org/wiki/End_of_Watch,Action,Drama,David Ayer,,Jake Gyllenhaal,Michael Peña,Anna Kendrick,Frank Grillo,America Ferrera,7000000,48100000
Enough Said,2013-09-20,https://en.wikipedia.org/wiki/Enough_Said_(film),Comedy,,Nicole Holofcener,,James Gandolfini,Julia Louis-Dreyfus,Toni Collette,Catherine Keener,Ben Falcone,8000000,25300000
Entourage,2015-05-27,https://en.wikipedia.org/wiki/Entourage_(film),Comedy,,Doug Ellin,,Adrian Grenier,Kevin Connolly,Kevin Dillon,Jerry Ferrara,Jeremy Piven,39000000,49300000
Epic,2013-05-24,https://en.wikipedia.org/wiki/Epic_(2013_film),Adventure,Comedy,Chris Wedge,,Colin Farrell,Josh Hutcherson,Amanda Seyfried,Jason Sudeikis,Christoph Waltz,93000000,268400000
Escape from Planet Earth,2013-02-15,https://en.wikipedia.org/wiki/Escape_from_Planet_Earth,Comedy,Family,Cal Brunker,,Brendan Fraser,Rob Corddry,Jessica Alba,William Shatner,Sarah Jessica Parker,40000000,74600000
Evil Dead,2013-04-05,https://en.wikipedia.org/wiki/Evil_Dead_(2013_film),Horror,,Fede Alvarez,,Jane Levy,Shiloh Fernandez,Lou Taylor Pucci,Jessica Lucas,Elizabeth Blackmore,17000000,97500000
Ex Machina,2015-01-21,https://en.wikipedia.org/wiki/Ex_Machina_(film),Sci-Fi,Thriller,Alex Garland,,Domhnall Gleeson,Oscar Isaac,Alicia Vikander,,,15000000,36900000
Eye in the Sky,2015-09-11,https://en.wikipedia.org/wiki/Eye_in_the_Sky_(2015_film),Thriller,,Gavin Hood,,Helen Mirren,Aaron Paul,Alan Rickman,Barkhad Abdi,,13000000,32800000
Fantastic Four,2015-08-04,https://en.wikipedia.org/wiki/Fantastic_Four_(2015_film),Action,Adventure,Josh Trank,,Miles Teller,Michael B. Jordan,Kate Mara,Jamie Bell,Toby Kebbell,120000000,168000000
Fast & Furious 6,2013-05-17,https://en.wikipedia.org/wiki/Fast_%2526_Furious_6,Action,,Justin Lin,,Vin Diesel,Dwayne Johnson,Paul Walker,Michelle Rodriguez,Jordana Brewster,160000000,788700000
Flight,2012-11-02,https://en.wikipedia.org/wiki/Flight_(2012_film),Drama,,Robert Zemeckis,,Denzel Washington,Brian Geraghty,Nadine Velazquez,Bruce Greenwood,John Goodman,31000000,161800000
Florence Foster Jenkins,2016-04-27,https://en.wikipedia.org/wiki/Florence_Foster_Jenkins_(film),Biography,Comedy,Stephen Frears,,Meryl Streep,Hugh Grant,Simon Helberg,Nina Arianda,Rebecca Ferguson,19000000,31700000
Frances Ha,2013-05-17,https://en.wikipedia.org/wiki/Frances_Ha,Drama,Comedy,Noah Baumbach,,Greta Gerwig,Charlotte d'Amboise,Adam Driver,Grace Gummer,Patrick Heusinger,3000000,11300000
Free State of Jones,2016-06-16,https://en.wikipedia.org/wiki/Free_State_of_Jones_(film),Drama,Thriller,Gary Ross,,Matthew McConaughey,Gugu Mbatha-Raw,Keri Russell,Mahershala Ali,,50000000,21200000
Friends with Kids,2012-03-09,https://en.wikipedia.org/wiki/Friends_with_Kids,Comedy,Romance,Jennifer Westfeldt,,Adam Scott,Jennifer Westfeldt,Jon Hamm,Kristen Wiig,Maya Rudolph,10000000,12200000
Fun Size,2012-10-26,https://en.wikipedia.org/wiki/Fun_Size,Comedy,,Josh Schwartz,,Victoria Justice,Jane Levy,Thomas McDonell,Thomas Mann,Chelsea Handler,14000000,11400000
Fury,2014-10-15,https://en.wikipedia.org/wiki/Fury_(2014_film),Action,Drama,David Ayer,,Brad Pitt,Shia LaBeouf,Logan Lerman,Michael Peña,Jon Bernthal,68000000,211800000
G.I. Joe: Retaliation,2013-03-27,https://en.wikipedia.org/wiki/G.I._Joe:_Retaliation,Action,Adventure,Jon Chu,,Channing Tatum,Ray Park,Dwayne Johnson,Bruce Willis,Elodie Yung,130000000,375700000
Gangster Squad,2013-01-11,https://en.wikipedia.org/wiki/Gangster_Squad,Action,Crime,Ruben Fleischer,,Ryan Gosling,Emma Stone,Sean Penn,Josh Brolin,Robert Patrick,75000000,105200000
Get Hard,2015-03-27,https://en.wikipedia.org/wiki/Get_Hard,Comedy,,Etan Cohen,,Will Ferrell,Kevin Hart,Alison Brie,Craig T. Nelson,T.I.,40000000,111800000
Get on Up,2014-08-01,https://en.wikipedia.org/wiki/Get_on_Up_(film),Drama,Biography,Tate Taylor,,Chadwick Boseman,Nelsan Ellis,Brandon Mychal Smith,Jill Scott,Tika Sumpter,30000000,33400000
Getaway,2013-08-30,https://en.wikipedia.org/wiki/Getaway_(film),Action,,Courtney Solomon,Yaron Levy,Ethan Hawke,Selena Gomez,Jon Voight,James Maslow,,18000000,11800000
Ghost Rider: Spirit of Vengeance,2012-02-17,https://en.wikipedia.org/wiki/Ghost_Rider:_Spirit_of_Vengeance,Action,Fantasy,Mark Neveldine,Brian Taylor,Nicolas Cage,Idris Elba,Fergus Riordan,Ciarán Hinds,Violante Placido,57000000,132600000
Ghostbusters,2016-07-15,https://en.wikipedia.org/wiki/Ghostbusters_(2016_film),Comedy,Sci-Fi,Paul Feig,,Melissa McCarthy,Kristen Wiig,Leslie Jones,Kate McKinnon,Chris Hemsworth,144000000,217500000
God's Not Dead,2014-03-21,https://en.wikipedia.org/wiki/God%2527s_Not_Dead_(film),Religious,,Harold Cronk,,Willie Robertson,David A. R. White,Shane Harper,Kevin Sorbo,Korie Robertson,2000000,62600000
God's Not Dead 2,2016-04-01,https://en.wikipedia.org/wiki/God%2527s_Not_Dead_2,Religious,,Harold Cronk,,Melissa Joan Hart,David A. R. White,Ray Wise,Robin Givens,Ernie Hudson,5000000,23500000
Gods of Egypt,2016-02-25,https://en.wikipedia.org/wiki/Gods_of_Egypt_(film),Action,Fantasy,Alex Proyas,,Geoffrey Rush,Gerard Butler,Brenton Thwaites,Courtney Eaton,Nikolaj Coster-Waldau,140000000,145700000
Godzilla,2014-05-08,https://en.wikipedia.org/wiki/Godzilla_(2014_film),Action,Adventure,Gareth Edwards,,Aaron Taylor-Johnson,Ken Watanabe,Elizabeth Olsen,Bryan Cranston,Juliette Binoche,160000000,529000000
